category	cat#	sub-category	subcat #
Food & Agriculture	10001	Grow it yourself & together	30001
Food & Agriculture	10001	Buy local	30002
Food & Agriculture	10001	Food Rescue	30003
Food & Agriculture	10001	Education & Policy	30004
Reduce, reuse, repair, recycle	10003	Reduce	40001
Reduce, reuse, repair, recycle	10003	Share & Reuse	40002
Reduce, reuse, repair, recycle	10003	Repair	40003
Reduce, reuse, repair, recycle	10003	Recycle & Upcycle	40004
Active Citizenship	10009	Political engagement	50001
Active Citizenship	10009	Participation	50002
Active Citizenship	10009	Communities / Networks	50003
