OSM Tags have to be in BRITISH English!  --> KANN DAS JEMAND BITTE KORRIGIEREN; ICH KENNE DIE FEINHEITEN NICHT,,,,,,,,,,,
An OSM Tag consists of Key and Value (written key=value),,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Descriptions for Columns,TransforTax Primary key is the Transformap INTERNAL Name for this item/set,"OpenStreetMap ""Key""<https://wiki.openstreetmap.org/wiki/Key>","OpenStreetMap ""Value""<https://wiki.openstreetmap.org/wiki/Value>",Click Link for a Map of currently tagged Objects,English short Description used for e.g. labeling checkboxes of this item in Editors,"Deutsche Kurzbeschreibung, die z.B. für Checkboxen dieses Eintrags in einem Editor verwendet wird","English long description, e.g. available when clicking on ""further information""","Deutsche Langbeschreibung, z.B. bei Klick auf ""Weitere Informationen zu dieser Eigenschaft""",OSM objects which do have this tag set on DEFAULT?,Discussion,
Comment:,does not have to be the same as key in other databases!,"Rules for OSM Keys: British English, lowercase, only special chars accepted are minus (-), underscore (_) and colon (:). Colon is used as group separator.","Rules for OSM Values: 

• either free text (in English, or local language (if e.g. "":de"" is appended to key)

• if it does have predefined values, use same rules as for keys. Common values are: yes; no; limited; designated; limited
If more than one value, separate with semicolon (;)",,,,,,"all objects mentioned here have this tag automatically set, when POI-type is chosen in an input mask
() - brackets are used to group two tags together - is only valid if ALL tags in brackets are set.",,
,TransforTax - Primary Key,OSM-Key,OSM-Value,Overpass-Link,label:en ,label:de ,description:en ,description:de ,OSM: default on objects,,Transformap-POIs
Group,,fulfils_needs,,http://overpass-turbo.eu/s/5a6,Needs fullfilled by a community,Erfüllte Bedürfnisse,"We all have needs. We need food and shelter, we need mobility and we need to communicate with others. Here is a list of various needs. You will find both: things that directly satisfy your needs as well as people who care for providing these things and for running needs-oriented projects","Wir alle haben Bedürfnisse. Wir müssen essen und trinken, wir suchen Schutz, brauchen Wissen und Mobilität. Hier findet sich eine Liste dieser Bedürfnisse.","A second spreadsheet lists Transformap-objects, their default needs and their osm-tags (already used and proposed by TransforMap): http://calc.allmende.io/TransforMap-POIs","You will find both: things that directly satisfy your needs as well as people who provide them and run needs-oriented projects.

",
Items,,,,,,,,,,,
,,fulfils_needs:food+drink,yes ,http://overpass-turbo.eu/?template=key&key=fullfills_needs:food,provides: food & drink,Bietet: Essen & Getränke,"Here you can find drinks and something to eat, recently harvested or ready to enjoy.",Hier gibt es etwas zu essen - Nahrungs- und Lebensmittel und Getränke,"amenity=bar;restaurant;pub;cafe;biergarten;marketplace;fast_food shop=supermarket;convenience;butcher;bakery;seafood;deli;confectionery;tea;coffee;greengrocer;farm;alcohol;beverages
landuse=farm[yard|land];orchard;vineyard
natural=spring
(amenity=social_facility+social_facility=food_bank)","HELMUT: Find ich sehr sinnvoll, dies zusammen zu tun!","Community-Gärten, Lebensmittel-Tauschregale, Food-Coops, CSA-Abholpunkt"
,,fulfils_needs:water,yes ,http://overpass-turbo.eu/?template=key&key=fullfills_needs:beverages,provides: water ,Bietet: Wasser ,This is about Water.,Hier geht es um Wasser.,"natural=spring
man_made=pumping_station(+pumping_station=water/wastewater/sewage);water_tower;water_works","HELMUT: 'Würde das hier nicht unserem Bedürfnissystem wiedersprechen? Wasser ist ja kein Bedürfnis. Ich habe das Bedürfnis nach Trinken und Waschen, evtl. noch schwimmen...",
,,fulfils_needs:land,rural/urban/rurban ,http://overpass-turbo.eu/?template=key&key=fullfills_needs:land,provides: land ,Bietet: Land ,This is about land - the land we all need to find shelter and/or to work on.  ,Wir brauchen und nutzen Land. Zum bewohnen und zum bearbeiten. ,,,
,,fulfils_needs:mobility,yes ,http://overpass-turbo.eu/?template=key&key=fullfills_needs:mobility,provides: mobility ,Bietet: Mobilität ,Here you find possibilities to go from A to B.,"Hier findest Du viele verschiedene Möglichkeiten, von A nach B zu kommen.",highway=* railway=* aerialway=* aeroway=* amenity=car_rental;car_sharing;bicycle_rental;boat_rental;fuel;charging_station;bicycle_parking;parking;motorcycle_parking;car_wash;taxi shop=car;motorcycle;bicycle;car_repair;,,
,,fulfils_needs:health,yes ,http://overpass-turbo.eu/?template=key&key=fullfills_needs:health,provides: health ,Bietet: Gesundheit ,Here you find what keeps and makes us healthy. ,"Hier steht das, was uns gesund hält oder macht.",amenity=hospital;clinic;doctors;dentist;veterinary;nursing_home;social_facilty(social_facility=group_home;social_facility:for=senior);pharmacy;baby_hatch emergency=defibrillator health_facility:type=counselling_centre,,
,,fulfils_needs:culture,yes ,http://overpass-turbo.eu/?template=key&key=fullfills_needs:culture,provides: culture ,Bietet: Kultur ,Here you find cultural events or free spaces to organize an event or to perform. ,Hier findest du kulturelle Veranstaltungen oder offene Räume um selbst Veranstaltungen zu organisieren. Du kannst dich auch selbst künstlerisch betätigen.. ,amenity=cinema;theatre;arts_centre;studio tourism=museum;artwork,,
,,fulfils_needs:sense_of_security,yes ,http://overpass-turbo.eu/?template=key&key=fullfills_needs:sense_of_security,provides: safety ,Bietet: Schutz ,"Here you find places and people that provide a sense of security, support and safety for a short period of time.","Orte und Menschen, die Schutz, Geborgenheit und Unterstützung in unsicheren Lebenslagen bieten.",(amenity=social_facility+social_facility=shelter),"Helmut: Ich glaube ""Security"" würde reichen. Diesen ""Sense"" braucht man nicht.",+1 (MM)
,,fulfils_needs:housing,yes ,http://overpass-turbo.eu/?template=key&key=fullfills_needs:housing,provides: housing ,Bietet: Unterkunft ,Here you find shelter and/or places you can feel at home - for a short time or permanently. ,"Hier findest Du ein Dach überm Kopf, zeitweise oder dauerhaft, ohne es auf dem freien Markt mieten oder kaufen zu müssen. ","amenity=dormitory
(amenity=social_facility+social_facility=group_home;assisted_living)",,
,,fulfils_needs:open_space,yes ,http://overpass-turbo.eu/?template=key&key=fullfills_needs:spaces,provides: open space ,Bietet: Freiraum ,"Here you find free spaces to meet, hang out, do whatever you want or express yourself. ","Hier ist ein offener Raum, um sich zu treffen, etwas zu organisieren oder wonach immer der Sinn steht. ",,,
,,fulfils_needs:objects_of_utility,yes ,http://overpass-turbo.eu/?template=key&key=fullfills_needs:objects_of_utility,provides: objects of utility ,Bietet: Gebrauchsgegenstände ,Here you can get or borrow tools and other things. ,"Hier gibt es unterschiedliche Gebrauchsgegenstände zum ausleihen, eintauschen oder geschenkt, die andere nicht mehr oder nicht immer brauchen. ","service:bicycle:tools=yes
leisure=hackerspace","besser: basic commodities (statt objects of utility)  -> eben nicht unbedingt bzw. ausschließlich ""commodities"" (Waren) ... da müssen wir noch weitersuchen",
,,fulfils_needs:clothes,yes ,http://overpass-turbo.eu/?template=key&key=fullfills_needs:clothes,provides: clothes ,Bietet: Kleidung ,"Here you can find clothes of all kinds, also for free, secondhand or fairly traded. ","Hier bekommst Du fair gehandelte oder gebrauchte, selbst gemachte oder gemeinschaftlich produzierte Kleidung. ",shop=clothes;secondhand,,
,,fulfils_needs:learning_opportunities,yes ,http://overpass-turbo.eu/?template=key&key=fullfills_needs:learning_opportunities,provides: knowledge&skills,Bietet: Wissen ,"Here is a space where knowledge, skills and insights are shared. A space where people learn and research and where you can engage heart, hand and mind. ","Hier ist ein Ort, wo Wissen geteilt, gemeinsam gelernt und geforscht wird.  'Hier kannst Du lernen, was Du schon immer gern lernen wolltest. Kopf und Hand trainieren! ",amenity=library;university;school,HELMUT: Skills_Knowledge fande ich ganz schön. Geht natürlich beides,
,,fulfils_needs:energy,yes ,http://overpass-turbo.eu/?template=key&key=fullfills_needs:energy,provides: energy ,Bietet: Energie ,"Electricity, heating, transportation - all of them require energy. Here you find projects, ideas and places, where this energy is generated. ","Strom, Wärme und Fortbewegung. Für alles braucht mensch Energie. Hier gibt es Projekte, Ideen und Standorte, die diese Energie erzeugen. ",power=generator,,
,,fulfils_needs:supportive_relationships,yes ,http://overpass-turbo.eu/?template=key&key=fullfills_needs:community,provides: supportive_relationships ,Bietet: stärkende_Sozialkontakte ,"Here you will find a person, a group of people or a network that offers support and empowerment. ","Hier kann man zusammensein, Aktivitäten und Erfahrungen erleben, die allein nicht möglich sind oder weniger Freude machen.",(amenity=social_facility+social_facility=outreach),,
